,Date,ASIN,Product Name,Current Inventory,Updated Current Inventory,Daily_Run_Rate,Date of OOS,Expected Date to be in Air,Days of inventory,Inventory Status,Total Upcoming Shipment,Days_To_Target,Expected_Usage,Total_Available,Required Projected Inventory,Buffer_Stock,Required_Shipment_with_buffer_stock
7160,2025-01-31,B0788X172Q,SVA Pomegranate Seed Oil 4oz (US),438,53.0,11.0,29-03-2025,09-03-2025,39,Expected to be in air,438,30,330.0,438,-108.0,165.0,57.0
7161,2025-02-01,B0788X172Q,SVA Pomegranate Seed Oil 4oz (US),438,28.0,10.0,02-04-2025,13-03-2025,43,Expected to be in air,438,30,300.0,438,-138.0,150.0,12.0
7162,2025-02-02,B0788X172Q,SVA Pomegranate Seed Oil 4oz (US),438,69.0,9.0,07-04-2025,18-03-2025,48,Expected to be in air,438,30,270.0,438,-168.0,135.0,-33.0
7163,2025-02-03,B0788X172Q,SVA Pomegranate Seed Oil 4oz (US),438,133.0,5.0,16-05-2025,26-04-2025,87,Planned to send in Next Sea Shipment,438,30,150.0,438,-288.0,75.0,-213.0
7164,2025-02-04,B0788X172Q,SVA Pomegranate Seed Oil 4oz (US),438,133.0,5.0,16-05-2025,26-04-2025,87,Planned to send in Next Sea Shipment,438,30,150.0,438,-288.0,75.0,-213.0
7165,2025-02-05,B0788X172Q,SVA Pomegranate Seed Oil 4oz (US),438,255.0,3.0,14-07-2025,24-06-2025,146,Sufficient Inventory,438,30,90.0,438,-348.0,45.0,-303.0
7166,2025-02-06,B0788X172Q,SVA Pomegranate Seed Oil 4oz (US),438,255.0,3.0,14-07-2025,24-06-2025,146,Sufficient Inventory,438,30,90.0,438,-348.0,45.0,-303.0
7167,2025-02-07,B0788X172Q,SVA Pomegranate Seed Oil 4oz (US),438,316.0,2.0,25-09-2025,05-09-2025,219,Sufficient Inventory,438,30,60.0,438,-378.0,30.0,-348.0
7168,2025-02-08,B0788X172Q,SVA Pomegranate Seed Oil 4oz (US),438,255.0,3.0,14-07-2025,24-06-2025,146,Sufficient Inventory,438,30,90.0,438,-348.0,45.0,-303.0
7169,2025-02-09,B0788X172Q,SVA Pomegranate Seed Oil 4oz (US),438,255.0,3.0,14-07-2025,24-06-2025,146,Sufficient Inventory,438,30,90.0,438,-348.0,45.0,-303.0
7170,2025-02-10,B0788X172Q,SVA Pomegranate Seed Oil 4oz (US),438,255.0,3.0,14-07-2025,24-06-2025,146,Sufficient Inventory,438,30,90.0,438,-348.0,45.0,-303.0
7171,2025-02-11,B0788X172Q,SVA Pomegranate Seed Oil 4oz (US),438,194.0,4.0,07-06-2025,18-05-2025,109,Sufficient Inventory,438,30,120.0,438,-318.0,60.0,-258.0
7172,2025-02-12,B0788X172Q,SVA Pomegranate Seed Oil 4oz (US),438,72.0,6.0,02-05-2025,12-04-2025,73,Sea Shipment,438,30,180.0,438,-258.0,90.0,-168.0
7173,2025-02-13,B0788X172Q,SVA Pomegranate Seed Oil 4oz (US),438,133.0,5.0,16-05-2025,26-04-2025,87,Planned to send in Next Sea Shipment,438,30,150.0,438,-288.0,75.0,-213.0
7174,2025-02-14,B0788X172Q,SVA Pomegranate Seed Oil 4oz (US),438,133.0,5.0,16-05-2025,26-04-2025,87,Planned to send in Next Sea Shipment,438,30,150.0,438,-288.0,75.0,-213.0
7175,2025-02-15,B0788X172Q,SVA Pomegranate Seed Oil 4oz (US),438,133.0,5.0,16-05-2025,26-04-2025,87,Planned to send in Next Sea Shipment,438,30,150.0,438,-288.0,75.0,-213.0
7176,2024-10-01,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,52.0,9.0,20-03-2025,28-02-2025,30,Expected to be in air,277,30,270.0,277,-7.0,135.0,128.0
7177,2024-10-02,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,31.0,6.0,05-04-2025,16-03-2025,46,Expected to be in air,277,30,180.0,277,-97.0,90.0,-7.0
7178,2024-10-03,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,31.0,6.0,05-04-2025,16-03-2025,46,Expected to be in air,277,30,180.0,277,-97.0,90.0,-7.0
7179,2024-10-04,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,32.0,7.0,29-03-2025,09-03-2025,39,Expected to be in air,277,30,210.0,277,-67.0,105.0,38.0
7180,2024-10-05,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,31.0,6.0,05-04-2025,16-03-2025,46,Expected to be in air,277,30,180.0,277,-97.0,90.0,-7.0
7181,2024-10-06,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,31.0,6.0,05-04-2025,16-03-2025,46,Expected to be in air,277,30,180.0,277,-97.0,90.0,-7.0
7182,2024-10-07,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,31.0,6.0,05-04-2025,16-03-2025,46,Expected to be in air,277,30,180.0,277,-97.0,90.0,-7.0
7183,2024-10-08,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,32.0,7.0,29-03-2025,09-03-2025,39,Expected to be in air,277,30,210.0,277,-67.0,105.0,38.0
7184,2024-10-09,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,32.0,7.0,29-03-2025,09-03-2025,39,Expected to be in air,277,30,210.0,277,-67.0,105.0,38.0
7185,2024-10-10,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,31.0,6.0,05-04-2025,16-03-2025,46,Expected to be in air,277,30,180.0,277,-97.0,90.0,-7.0
7186,2024-10-11,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,31.0,6.0,05-04-2025,16-03-2025,46,Expected to be in air,277,30,180.0,277,-97.0,90.0,-7.0
7187,2024-10-12,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,31.0,6.0,05-04-2025,16-03-2025,46,Expected to be in air,277,30,180.0,277,-97.0,90.0,-7.0
7188,2024-10-13,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,77.0,8.0,24-03-2025,04-03-2025,34,Expected to be in air,277,30,240.0,277,-37.0,120.0,83.0
7189,2024-10-14,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,32.0,7.0,29-03-2025,09-03-2025,39,Expected to be in air,277,30,210.0,277,-67.0,105.0,38.0
7190,2024-10-15,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,52.0,9.0,20-03-2025,28-02-2025,30,Expected to be in air,277,30,270.0,277,-7.0,135.0,128.0
7191,2024-10-16,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,52.0,9.0,20-03-2025,28-02-2025,30,Expected to be in air,277,30,270.0,277,-7.0,135.0,128.0
7192,2024-10-17,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,52.0,9.0,20-03-2025,28-02-2025,30,Expected to be in air,277,30,270.0,277,-7.0,135.0,128.0
