ASIN,Product Name,Current Inventory,Daily_Run_Rate,Expected_Usage,Total Upcoming Shipment,Days_To_Target,AWD,Backstock,Upcoming Orders,Total Available Stocks with BS & AWD,"Total Available Stocks with BS,AWD & Orders",Required Inventory(AWD+BS+ORDERS)
B072M2MTK1,SVA Rose Water 4 Oz (US),4989,108.0,3240.0,4989,30,7000,8200,0,20189,20189,-16949.0
B072M2MTK1,SVA Rose Water 4 Oz (US),4989,113.0,3390.0,4989,30,7000,8200,0,20189,20189,-16799.0
B072M2MTK1,SVA Rose Water 4 Oz (US),4989,118.0,3540.0,4989,30,7000,8200,0,20189,20189,-16649.0
B072M2MTK1,SVA Rose Water 4 Oz (US),4989,120.0,3600.0,4989,30,7000,8200,0,20189,20189,-16589.0
B072M2MTK1,SVA Rose Water 4 Oz (US),4989,111.0,3330.0,4989,30,7000,8200,0,20189,20189,-16859.0
B072M2MTK1,SVA Rose Water 4 Oz (US),4989,108.0,3240.0,4989,30,7000,8200,0,20189,20189,-16949.0
B072M2MTK1,SVA Rose Water 4 Oz (US),4989,107.0,3210.0,4989,30,7000,8200,0,20189,20189,-16979.0
B072M2MTK1,SVA Rose Water 4 Oz (US),4989,117.0,3510.0,4989,30,7000,8200,0,20189,20189,-16679.0
B072M2MTK1,SVA Rose Water 4 Oz (US),4989,125.0,3750.0,4989,30,7000,8200,0,20189,20189,-16439.0
B072M2MTK1,SVA Rose Water 4 Oz (US),4989,143.0,4290.0,4989,30,7000,8200,0,20189,20189,-15899.0
B072M2MTK1,SVA Rose Water 4 Oz (US),4989,157.0,4710.0,4989,30,7000,8200,0,20189,20189,-15479.0
B072M2MTK1,SVA Rose Water 4 Oz (US),4989,160.0,4800.0,4989,30,7000,8200,0,20189,20189,-15389.0
B072M2MTK1,SVA Rose Water 4 Oz (US),4989,148.0,4440.0,4989,30,7000,8200,0,20189,20189,-15749.0
B072M2MTK1,SVA Rose Water 4 Oz (US),4989,142.0,4260.0,4989,30,7000,8200,0,20189,20189,-15929.0
B072M2MTK1,SVA Rose Water 4 Oz (US),4989,148.0,4440.0,4989,30,7000,8200,0,20189,20189,-15749.0
B072M2MTK1,SVA Rose Water 4 Oz (US),4989,147.0,4410.0,4989,30,7000,8200,0,20189,20189,-15779.0
